CSSHTML-前端設計入門|10|20200803|20200810|1|這門課程適合: 適合完全沒有設計、程式基礎的初學者、希望自己能夠從無到有設計一個網站。|將從這堂課程學到什麼？ 1.有能力排出具專業、語意化、美觀的網頁設計。2.了解設計網頁的脈絡。3.獲得持續更新的講義教材，終身複習不會脫離趨勢的現代化線上課程。|data/images/smallPic/CSSHTML.jpg|001|前端|CSSHTML.jpg|https://www.youtube.com/embed/ltMSrSis9ww
AJAX非同步網頁教程|15|20200725|20200728|1|一套綜合了多項技術的瀏覽器端網頁開發技術。|這些技術包括HTML 或XHTML、層疊樣式表、JavaScript、文件物件模型、XML、XSLT 以及最重要的XMLHttpRequest 物件。 當這些技術被結合在Ajax 模型中，Web 應用程式便能快速、即時更動介面及內容，不需要重新讀取整個網頁，讓程式更快回應使用者的操作。|data/images/smallPic/AJAX.jpg|002|前端|AJAX.jpg|https://www.youtube.com/embed/L7Sn-f36TGM
第一個Hibernate程式|25|20200815|20200820|2|Hibernate是一種ORM框架，在Java物件與關聯式資料庫之間建立某種對映，以實現直接存取Java物件！|Hibernate 是「物件/關係對應」（Object/Relational Mapping）的解決方案，簡寫為ORM，簡單的說就是將 Java 中的物件與物件關係，映射至關聯式資料庫中的表格與表格之間的關係， Hibernate 提供了這個過程中自動對應轉換的方案。|data/images/smallPic/HIBERNATE.jpg|003|後端|HIBERNATE.jpg|https://www.youtube.com/embed/JR7-EdxDSf0
JAVASCRIPT初探|30|20200811|20200814|3|JavaScript（通常縮寫為JS）是一種進階的、直譯的程式語言。|JavaScript是一門基於原型、函式先行的語言，是一門多範式的語言，它支援物件導向編程，指令式程式設計，以及函式語言程式設計。它提供語法來操控文字、陣列、日期以及正規表示式等，不支援I/O，比如網路、儲存和圖形等，但這些都可以由它的宿主環境提供支援。|data/images/smallPic/JAVASCRIPT.jpg|004|前端|JAVASCRIPT.jpg|https://www.youtube.com/embed/Qqx_wzMmFeA
從零開始的JQUERY|35|20200811|20200818|3|這門課程適合: 想要設計出超棒的網頁體驗者、以及除了基本 jQuery 技巧，還想學會更多應用的同仁。|我將從這堂課程學到什麼？ 1.能夠掌握如何在網頁上設計互動性網頁動畫效果。2.有辦法整合別人寫好的第三方動畫插件，並套用在自己的網頁上。3.有能力評估別人的網站究竟是用了哪些插件來設計網頁動畫效果。4.當 jQuery 程式碼變多時，也能夠有條理地進行維護整理。|data/images/smallPic/JQUERY.jpg|005|前端|JQUERY.jpg|https://www.youtube.com/embed/ScoURsEM_yU
Python基本課程|45|20200901|20200911|3|Python是一種廣泛使用的直譯式、進階程式、通用型程式語言。|Python的設計哲學強調代碼的可讀性和簡潔的語法（尤其是使用空格縮排劃分代碼塊，而非使用大括號或者關鍵詞）。相比於C++或Java，Python讓開發者能夠用更少的代碼表達想法。不管是小型還是大型程式，該語言都試圖讓程式的結構清晰明瞭。|data/images/smallPic/PYTHON.jpg|006|後端|PYTHON.jpg|https://www.youtube.com/embed/rfscVS0vtbw
BootStrap深入淺出教學|20|20200803|20200810|1|Bootstrap是一組用於網站和網路應用程式開發的開源前端|Bootstrap 是一個由 HTML、CSS 和 JavaScript 寫成的前端框架。|data/images/smallPic/BOOTSTRAP.jpg|007|前端|BOOTSTRAP.jpg|https://www.youtube.com/embed/9X1graZtuPs
C++新手入門指南|50|20200919|20200926|2|C++是一種被廣泛使用的電腦程式設計語言。|C語言是個十分強大的程式語言。|data/images/smallPic/C.jpg|008|後端 |C.jpg|https://www.youtube.com/embed/vLnPwxZdW4Y
JAVA基礎講座|45|20200810|20200831|2|Java 是 Sun Microsystems 於 1995 年率先發表的程式設計語言與運算平台。|Java 是一種廣泛使用的電腦程式設計語言，擁有跨平台、物件導向、泛型程式設計的特性，可以運用在各種領域，支援性非常強大！|data/images/smallPic/JAVA.jpg|009|後端|JAVA.jpg|https://www.youtube.com/embed/eIrMbAQSU34
什麼是Node.js|40|20200722|20200731|2|Node.js 是能夠在伺服器端運行 JavaScript 的開放原始碼、跨平台 JavaScript 執行環境。|Node.js採用Google開發的V8執行程式碼，使用事件驅動、非阻塞和非同步輸入輸出模型等技術來提高效能，可最佳化應用程式的傳輸量和規模。這些技術通常用於資料密集的即時應用程式。|data/images/smallPic/Node-js.jpg|010|後端|Node-js.jpg|https://www.youtube.com/embed/RLtyhwFtXQA
